,district,Year,mean,month,Visitors
0,Adilabad,2016,422963.0833333333,January,792136.0
1,Bhadradri Kothagudem ,2016,296343.3333333333,January,
2,Hyderabad,2016,1949558.75,January,1122510.0
3,Jagtial ,2016,207692.3333333333,January,
4,Jangaon ,2016,13553.333333333334,January,
5,Jayashankar Bhoopalpally,2016,81133.33333333333,January,
6,Jogulamba Gadwal ,2016,174467.0,January,
7,Kamareddy ,2016,42.333333333333336,January,
8,Karimnagar ,2016,763955.6666666666,January,1984442.0
9,Khammam,2016,417085.9166666667,January,651827.0
10,Komaram Bheem Asifabad,2016,0.0,January,
11,Mahabubabad ,2016,46667.333333333336,January,
12,Mahbubnagar,2016,692063.8333333334,January,577071.0
13,Mancherial,2016,2600.6666666666665,January,
14,Medak ,2016,288600.0,January,92600.0
15,Nagarkurnool ,2016,196157.66666666663,January,
16,Nalgonda,2016,488205.0833333333,January,566515.0
17,Nirmal,2016,305536.6666666667,January,
18,Nizamabad,2016,536.8333333333334,January,576.0
19,Peddapalli,2016,1081.3333333333333,January,
20,Rajanna Sircilla ,2016,725600.3333333334,January,
21,Sangareddy ,2016,259333.3333333333,January,
22,Siddipet,2016,119466.66666666669,January,
23,Wanaparthy ,2016,20046.0,January,
24,Warangal (Rural),2016,6466.666666666667,January,
25,Warangal (Urban),2016,2149002.9166666665,January,1985815.0
26,Yadadri Bhongir,2016,576200.0,January,
27,Adilabad,2017,68781.66666666667,January,318799.0
28,Bhadradri Kothagudem ,2017,341193.0833333333,January,302315.0
29,Hyderabad,2017,2263353.5,January,1924695.0
30,Jagtial ,2017,303450.0833333333,January,174477.0
31,Jangaon ,2017,13809.0,January,12280.0
32,Jayashankar Bhoopalpally,2017,152584.16666666666,January,96560.0
33,Jogulamba Gadwal ,2017,187116.5833333333,January,214887.0
34,Kamareddy ,2017,45.0,January,58.0
35,Karimnagar ,2017,10331.333333333334,January,14425.0
36,Khammam,2017,128533.58333333331,January,132528.0
