,district,January,February,March,April,May,June,July,August,September,October,November,December,Year
0,Adilabad,792136,937820,582946,341948,252887,368237,447562,614285,491279,94184,99148,53125,2016
1,Bhadradri Kothagudem , , , , , , , , , ,310133,252127,326770,2016
2,Hyderabad,1122510,778748,1017794,1127738,1287181,12032661,1096754,1061137,832987,901960,909733,1225502,2016
3,Jagtial , , , , , , , , , ,201249,214534,207294,2016
4,Jangaon , , , , , , , , , ,14770,13210,12680,2016
5,Jayashankar Bhoopalpally, , , , , , , , , ,76360,81580,85460,2016
6,Jogulamba Gadwal , , , , , , , , , ,152898,188170,182333,2016
7,Kamareddy , , , , , , , , , ,47,38,42,2016
8,Karimnagar ,1984442,779960,1018399,956959,1095642,914746,401047,1018399,956959,13675,13350,13890,2016
9,Khammam,651827,407533,458527,971622,433994,445862,414963,503654,368437,121575,110634,116403,2016
10,Komaram Bheem Asifabad, , , , , , , , , ,0,0,0,2016
11,Mahabubabad , , , , , , , , , ,13032,114015,12955,2016
12,Mahbubnagar,577071,1312068,1731983,622432,571898,561006,562322,1133105,567712,198592,256375,210202,2016
13,Mancherial, , , , , , , , , ,3124,2255,2423,2016
14,Medak ,92600,215000,1318000,300000,198000,166700,153300,216100,132600,15600,132300,523000,2016
15,Nagarkurnool , , , , , , , , , ,201050,188786,198637,2016
16,Nalgonda,566515,539467,619462,601253,628872,551239,582820,988102,742402,3508,21046,13775,2016
17,Nirmal, , , , , , , , , ,475955,201388,239267,2016
18,Nizamabad,576,869,408,476,554,367,644,589,553,434,617,355,2016
19,Peddapalli, , , , , , , , , ,950,1145,1149,2016
20,Rajanna Sircilla , , , , , , , , , ,534484,864077,778240,2016
21,Sangareddy , , , , , , , , , ,274000,349000,155000,2016
22,Siddipet, , , , , , , , , ,123500,154400,80500,2016
23,Wanaparthy , , , , , , , , , ,21234,18348,20556,2016
24,Warangal (Rural), , , , , , , , , ,8200,6050,5150,2016
25,Warangal (Urban),1985815,20703778,568397,317643,373788,365332,340320,368755,379210,128247,129250,127500,2016
26,Yadadri Bhongir, , , , , , , , , ,584800,681000,462800,2016
27,Adilabad,318799,83316,27508,13946,11752,26859,52386,34876,42699,41666,117322,54251,2017
28,Bhadradri Kothagudem ,302315,251359,243943,667459,311626,351742,258114,316438,381784,334504,281515,393518,2017
29,Hyderabad,1924695,1886698,1783903,2366793,2266793,2007060,1890870,1976980,2011280,2202316,1971438,4871416,2017
30,Jagtial ,174477,159659,323658,330540,468038,418103,247254,386458,143102,248504,348042,393566,2017
31,Jangaon ,12280,12610,8450,9788,12130,13750,16050,15680,15600,16130,16360,16880,2017
32,Jayashankar Bhoopalpally,96560,96850,81400,90700,91150,93650,94700,118350,112600,115250,116800,723000,2017
33,Jogulamba Gadwal ,214887,481110,155013,131426,131426,160182,160182,131485,123733,152898,188170,214887,2017
34,Kamareddy ,58,50,41,46,60,41,41,40,41,38,43,41,2017
35,Karimnagar ,14425,10845,9625,8630,8890,10542,12350,10952,7576,8371,8705,13065,2017
36,Khammam,132528,115470,101878,135920,138799,138158,105102,129159,140821,155943,110800,137825,2017
37,Komaram Bheem Asifabad,2241,2490,2767,3074,3416,3796,3713,3665,3934,14050,3627,4218,2017
38,Mahabubabad ,13260,13045,9100,9140,10220,10130,10170,12520,13140,13750,13560,13780,2017
39,Mahbubnagar,446135,805392,178256,208694,214209,179210,179099,215229,180675,196103,259060,426167,2017
40,Mancherial,2937,3130,2775,1513,1424,2119,33591,26104,24297,37671,25737,30328,2017
41,Medak ,523000,543321,548535,554864,556891,561469,575300,632830,696113,765724,842296,926526,2017
42,Nagarkurnool ,382879,286258,184508,183697,183697,180010,180010,181861,118010,201050,188786,382879,2017
43,Nalgonda,4447,8652,8054,44295,10750,37879,21361,9363,17465,36066,17687,25897,2017
44,Nirmal,340311,415326,442057,274132,297233,340359,328101,340430,528540,388644,369365,340585,2017
45,Nizamabad,613,1752,660,1048,1341,2391,1520,1583,933,6644,1677,1787,2017
46,Peddapalli,1345,1378,965,750,640,885,1095,1385,1155,1595,1940,1765,2017
47,Rajanna Sircilla ,615842,1255569,1030441,1146782,1117228,1113882,462022,1004410,487060,845620,1191129,1649362,2017
48,Sangareddy ,195000,140000,275000,215000,215000,180000,195000,295000,200000,232000,324500,356950,2017
49,Siddipet,80500,80500,80500,80500,80500,60000,88550,97405,107146,117861,129647,142612,2017
50,Wanaparthy ,22152,22342,20050,11502,11502,19092,19092,21375,35860,21234,18348,22152,2017
51,Warangal (Rural),8000,8300,7800,7600,8500,9000,13600,13650,13800,16500,16300,21200,2017
52,Warangal (Urban),130608,126608,118298,107133,109915,111530,116545,116810,117150,119255,119360,126790,2017
53,Yadadri Bhongir,678000,540500,525588,570000,458700,685880,481240,680720,678925,683500,537600,481075,2017
54,Adilabad,320356,36550,23011,14183,8197,12052,24666,38939,25875,30257,49181,61476,2018
55,Bhadradri Kothagudem ,421275,240634,421275,341258,291273,290512,220304,219548,334878,322974,253464,442483,2018
56,Hyderabad,1978396,1365837,1415938,1586375,1189492,1595067,1470042,1591470,1508086,2207478,1671320,1964150,2018
57,Jagtial ,614082,349576,416716,372874,641363,182505,182473,272685,273121,138206,277997,231323,2018
58,Jangaon ,17180,18600,17300,18100,19660,23050,26280,26020,28830,29470,29570,36962,2018
59,Jayashankar Bhoopalpally,6519850,8626250,146150,149150,152050,159400,128550,184700,192300,195400,196500,245625,2018
60,Jogulamba Gadwal ,146441,481110,155013,138673,131426,160182,114951,123733,121710,152898,128075,182333,2018
61,Kamareddy ,44,44,45,45,49,56,48,55,40,62,41,43,2018
62,Karimnagar ,13505,9330,7205,5830,5689,7180,6686,8480,8480,6118,7145,7800,2018
63,Khammam,110094,104444,127152,126553,135189,135988,85932,86309,143465,127645,99070,135600,2018
64,Komaram Bheem Asifabad,2863,2736,1826,868,793,990,1954,2263,1819,2525,1741,2176,2018
65,Mahabubabad ,14000,14230,13110,12915,12865,13910,13970,13200,13420,13550,13700,17125,2018
66,Mahbubnagar,156153,788083,166863,196061,193478,165553,161841,169154,167833,193152,295910,198227,2018
67,Mancherial,71955,38599,20749,38483,26179,31667,27937,31861,23141,30740,25197,31496,2018
68,Medak ,100000,1000000,600000,200000,300000,500000,150000,50000,100000,300000,200000,400000,2018
69,Nagarkurnool ,228812,286258,184508,174592,183697,180010,93450,118010,118449,201050,121452,198637,2018
70,Nalgonda,36205,9971,9677,9779,10241,9066,9668,10135,21365,22332,5422,6777,2018
71,Nirmal,480241,335447,328099,368645,342650,355197,335356,313910,293859,373291,289169,361461,2018
72,Nizamabad,2495,7152,2903,3550,5360,1761,5882,10525,475,490,475,355,2018
73,Peddapalli,2670,2695,2325,1940,1499,1580,1580,1595,1475,1545,1655,1695,2018
74,Rajanna Sircilla ,2238074,1021787,1022669,833874,1021952,320886,937720,320952,818693,506563,840933,950128,2018
75,Sangareddy ,254000,540000,158500,162500,157000,93500,108600,205000,125000,171800,160000,134000,2018
76,Siddipet,253000,44000,164800,115000,165200,104300,54000,100000,55000,43000,135000,50000,2018
77,Wanaparthy ,28131,22341,20050,10550,11502,19092,32625,35860,32002,21234,32657,20556,2018
78,Warangal (Rural),25200,26300,26200,21600,22100,23100,25900,25700,25800,26000,24050,30062,2018
79,Warangal (Urban),137530,145750,140300,142510,143425,135615,136560,136760,138780,140948,144515,180643,2018
80,Yadadri Bhongir,2016000,3073872,2836580,692370,781842,577570,671156,526445,819350,586475,485208,606510,2018
81,Adilabad,25071,406177,14347,9972,6997,9161,11791,108173,37589,38184,70344,38089,2019
82,Bhadradri Kothagudem ,283365,229159,225448,349585,275800,9761776,233338,271941,314199,287432,298366,287328,2019
83,Hyderabad,1426500,983147,1009991,1045933,1305748,1262995,1094861,1121380,959930,1240643,1073665,1277569,2019
84,Jagtial ,211913,215105,194090,447226,500206,235363,157419,151570,157564,165070,277630,372959,2019
85,Jangaon ,28750,28810,27300,26160,26740,25820,24160,27800,28640,27840,28410,28460,2019
86,Jayashankar Bhoopalpally,197430,33500,37500,38500,30800,40500,45500,45000,50500,46000,51500,45800,2019
87,Jogulamba Gadwal ,146441,481110,155013,82334,154609,155013,114951,123733,131485,152898,128075,182333,2019
88,Kamareddy ,42,41,45,41,46,41,50,50,41,46,46,45,2019
89,Karimnagar ,10285,6480,6634,5623,3393,3871,5192,5480,8735,6799,7101,7898,2019
90,Khammam,123550,98471,91340,135920,130971,127270,103260,111374,133754,128625,104380,124525,2019
91,Komaram Bheem Asifabad,2476,1449,1212,663,493,506,1287,2572,1629,1943,2176,2783,2019
92,Mahabubabad ,13480,13545,13490,12980,11970,11460,13470,12190,13210,12260,12470,12360,2019
93,Mahbubnagar,168082,798949,173658,183268,175202,175853,100398,104787,141387,130227,234066,148938,2019
94,Mancherial,18420,26325,16253,23026,26616,24593,22303,21191,24079,20867,29302,16835,2019
95,Medak ,400000,600000,1000000,650000,400000,300000,350000,349900,350400,350000,351560,350710,2019
96,Mulugu,0,159640,156610,152570,154550,163480,167700,171050,172900,172500,173700,175100,2019
97,Nagarkurnool ,228812,286258,184508,121460,184372,184508,93450,118010,175712,196160,121425,198637,2019
98,Nalgonda,21284,13697,8467,7202,26338,5558,19783,7473,5230,5290,7177,13419,2019
99,Narayanapet,,,,,,,68842,72249,62841,58213,62750,64355,2019
100,Nirmal,313675,443898,424964,327971,149705,349747,359495,334646,299827,263412,253388,296050,2019
101,Nizamabad,878,915,938,958,1193,686,990,1004,6572,8849,11950,11400,2019
102,Peddapalli,1055,1157,895,942,802,735,1085,1505,1785,2080,2225,2315,2019
103,Rajanna Sircilla ,6188298,1015550,1444971,1148062,1018131,1128849,422961,586118,501293,646492,1259371,1472801,2019
104,Sangareddy ,144000,148000,747000,205000,133000,347000,467000,466150,468350,467470,481720,478470,2019
105,Siddipet,140793,199549,204600,184412,110500,1037000,179320,190750,122550,191330,209130,217930,2019
106,Wanaparthy ,28131,22342,20050,23749,20010,20050,32625,35860,21375,21234,32657,20556,2019
107,Warangal (Rural),28700,28800,29000,26900,24900,27100,28600,31600,32600,31100,32150,32050,2019
108,Warangal (Urban),151545,157755,154305,150425,143230,144400,145440,148030,151070,147450,153880,147700,2019
109,Yadadri Bhongir,479293,56525,481923,441150,345790,370566,332770,389010,366862,381860,365990,477635,2019
