,district,January,February,March,April,May,June,July,August,September,October,November,December,Year
0,Adilabad,320356,36550,23011,14183,8197,12052,24666,38939,25875,30257,49181,61476,2018
1,Bhadradri Kothagudem ,421275,240634,421275,341258,291273,290512,220304,219548,334878,322974,253464,442483,2018
2,Hyderabad,1978396,1365837,1415938,1586375,1189492,1595067,1470042,1591470,1508086,2207478,1671320,1964150,2018
3,Jagtial ,614082,349576,416716,372874,641363,182505,182473,272685,273121,138206,277997,231323,2018
4,Jangaon ,17180,18600,17300,18100,19660,23050,26280,26020,28830,29470,29570,36962,2018
5,Jayashankar Bhoopalpally,6519850,8626250,146150,149150,152050,159400,128550,184700,192300,195400,196500,245625,2018
6,Jogulamba Gadwal ,146441,481110,155013,138673,131426,160182,114951,123733,121710,152898,128075,182333,2018
7,Kamareddy ,44,44,45,45,49,56,48,55,40,62,41,43,2018
8,Karimnagar ,13505,9330,7205,5830,5689,7180,6686,8480,8480,6118,7145,7800,2018
9,Khammam,110094,104444,127152,126553,135189,135988,85932,86309,143465,127645,99070,135600,2018
10,Komaram Bheem Asifabad,2863,2736,1826,868,793,990,1954,2263,1819,2525,1741,2176,2018
11,Mahabubabad ,14000,14230,13110,12915,12865,13910,13970,13200,13420,13550,13700,17125,2018
12,Mahbubnagar,156153,788083,166863,196061,193478,165553,161841,169154,167833,193152,295910,198227,2018
13,Mancherial,71955,38599,20749,38483,26179,31667,27937,31861,23141,30740,25197,31496,2018
14,Medak ,100000,1000000,600000,200000,300000,500000,150000,50000,100000,300000,200000,400000,2018
16,Nagarkurnool ,228812,286258,184508,174592,183697,180010,93450,118010,118449,201050,121452,198637,2018
17,Nalgonda,36205,9971,9677,9779,10241,9066,9668,10135,21365,22332,5422,6777,2018
18,Nirmal,480241,335447,328099,368645,342650,355197,335356,313910,293859,373291,289169,361461,2018
19,Nizamabad,2495,7152,2903,3550,5360,1761,5882,10525,475,490,475,355,2018
20,Peddapalli,2670,2695,2325,1940,1499,1580,1580,1595,1475,1545,1655,1695,2018
21,Rajanna Sircilla ,2238074,1021787,1022669,833874,1021952,320886,937720,320952,818693,506563,840933,950128,2018
23,Sangareddy ,254000,540000,158500,162500,157000,93500,108600,205000,125000,171800,160000,134000,2018
24,Siddipet,253000,44000,164800,115000,165200,104300,54000,100000,55000,43000,135000,50000,2018
27,Wanaparthy ,28131,22341,20050,10550,11502,19092,32625,35860,32002,21234,32657,20556,2018
28,Warangal (Rural),25200,26300,26200,21600,22100,23100,25900,25700,25800,26000,24050,30062,2018
29,Warangal (Urban),137530,145750,140300,142510,143425,135615,136560,136760,138780,140948,144515,180643,2018
30,Yadadri Bhongir,2016000,3073872,2836580,692370,781842,577570,671156,526445,819350,586475,485208,606510,2018
