,district,date,month,year,visitors
0,Adilabad,01-01-2016,January,2016,2
1,Adilabad,01-02-2016,February,2016,0
2,Adilabad,01-03-2016,March,2016,2
3,Adilabad,01-04-2016,April,2016,0
4,Adilabad,01-05-2016,May,2016,0
5,Adilabad,01-06-2016,June,2016,0
6,Adilabad,01-07-2016,July,2016,4
7,Adilabad,01-08-2016,August,2016,2
8,Adilabad,01-09-2016,September,2016,0
9,Adilabad,01-10-2016,October,2016,0
10,Adilabad,01-11-2016,November,2016,0
11,Adilabad,01-12-2016,December,2016,0
12,Bhadradri Kothagudem ,01-01-2016,January,2016, 
13,Bhadradri Kothagudem ,01-02-2016,February,2016, 
14,Bhadradri Kothagudem ,01-03-2016,March,2016, 
15,Bhadradri Kothagudem ,01-04-2016,April,2016, 
16,Bhadradri Kothagudem ,01-05-2016,May,2016, 
17,Bhadradri Kothagudem ,01-06-2016,June,2016, 
18,Bhadradri Kothagudem ,01-07-2016,July,2016, 
19,Bhadradri Kothagudem ,01-08-2016,August,2016, 
20,Bhadradri Kothagudem ,01-09-2016,September,2016, 
21,Bhadradri Kothagudem ,01-10-2016,October,2016,0
22,Bhadradri Kothagudem ,01-11-2016,November,2016,0
23,Bhadradri Kothagudem ,01-12-2016,December,2016,0
24,Hyderabad,01-01-2016,January,2016,15865
25,Hyderabad,01-02-2016,February,2016,29646
26,Hyderabad,01-03-2016,March,2016,13019
27,Hyderabad,01-04-2016,April,2016,8402
28,Hyderabad,01-05-2016,May,2016,8522
29,Hyderabad,01-06-2016,June,2016,10284
30,Hyderabad,01-07-2016,July,2016,17142
31,Hyderabad,01-08-2016,August,2016,12842
32,Hyderabad,01-09-2016,September,2016,9397
33,Hyderabad,01-10-2016,October,2016,12808
34,Hyderabad,01-11-2016,November,2016,8084
35,Hyderabad,01-12-2016,December,2016,17620
36,Jagtial ,01-01-2016,January,2016, 
37,Jagtial ,01-02-2016,February,2016, 
38,Jagtial ,01-03-2016,March,2016, 
39,Jagtial ,01-04-2016,April,2016, 
40,Jagtial ,01-05-2016,May,2016, 
41,Jagtial ,01-06-2016,June,2016, 
42,Jagtial ,01-07-2016,July,2016, 
43,Jagtial ,01-08-2016,August,2016, 
44,Jagtial ,01-09-2016,September,2016, 
45,Jagtial ,01-10-2016,October,2016,0
46,Jagtial ,01-11-2016,November,2016,0
47,Jagtial ,01-12-2016,December,2016,0
48,Jangaon ,01-01-2016,January,2016, 
49,Jangaon ,01-02-2016,February,2016, 
50,Jangaon ,01-03-2016,March,2016, 
51,Jangaon ,01-04-2016,April,2016, 
52,Jangaon ,01-05-2016,May,2016, 
53,Jangaon ,01-06-2016,June,2016, 
54,Jangaon ,01-07-2016,July,2016, 
55,Jangaon ,01-08-2016,August,2016, 
