district,April,August,December,February,January,July,June,March,May,November,October,September,Year
Adilabad,0,2,0,0,2,4,0,2,0,0,0,0,2016
Bhadradri Kothagudem , , ,0, , , , , , ,0,0, ,2016
Hyderabad,8402,12842,17620,29646,15865,17142,10284,13019,8522,8084,12808,9397,2016
Jagtial , , ,0, , , , , , ,0,0, ,2016
Jangaon , , ,0, , , , , , ,2,0, ,2016
Jayashankar Bhoopalpally, , ,40, , , , , , ,22,24, ,2016
Jogulamba Gadwal , , ,11, , , , , , ,21,13, ,2016
Kamareddy , , ,0, , , , , , ,0,0, ,2016
Karimnagar ,0,0,0,0,0,0,0,0,0,0,0,0,2016
Khammam,0,0,0,0,0,0,0,0,0,0,0,0,2016
Komaram Bheem Asifabad, , ,0, , , , , , ,0,0, ,2016
Mahabubabad , , ,0, , , , , , ,0,0, ,2016
Mahbubnagar,75,86,26,126,123,63,68,103,58,29,37,74,2016
Mancherial, , ,0, , , , , , ,0,0, ,2016
Medak ,0,0,0,0,0,0,0,0,0,0,0,0,2016
Medchal , , , , , , , , , , , , ,2016
Nagarkurnool , , ,10, , , , , , ,11,8, ,2016
Nalgonda,0,0,0,0,0,0,0,0,0,0,0,0,2016
Nirmal, , ,0, , , , , , ,0,0, ,2016
Nizamabad,0,0,0,0,0,0,0,0,0,0,0,0,2016
Peddapalli, , ,0, , , , , , ,0,0, ,2016
Rajanna Sircilla , , ,0, , , , , , ,0,0, ,2016
Ranga Reddy, , , , , , , , , , , , ,2016
Sangareddy , , ,0, , , , , , ,0,0, ,2016
Siddipet, , ,0, , , , , , ,0,0, ,2016
Suryapet, , ,0, , , , , , ,0,0, ,2016
Vikarabad, , , , , , , , , , , , ,2016
Wanaparthy , , ,0, , , , , , ,0,0, ,2016
Warangal (Rural), , ,0, , , , , , ,0,0, ,2016
Warangal (Urban),39,102,132,391,459,53,88,230,82,97,108,118,2016
Yadadri Bhongir, , ,0, , , , , , ,0,0, ,2016
Adilabad,0,0,0,0,5,0,3,0,0,0,0,3,2017
Bhadradri Kothagudem ,0,0,0,0,0,0,0,0,0,0,0,0,2017
Hyderabad,12996,16985,38933,18097,19286,18144,12486,13875,12983,29170,26368,27856,2017
Jagtial ,0,0,0,0,0,0,0,0,0,0,0,0,2017
Jangaon ,0,0,0,0,0,0,0,0,0,0,0,0,2017
Jayashankar Bhoopalpally,36,45,57,38,85,42,35,35,40,58,55,56,2017
Jogulamba Gadwal ,29,25,10,16,20,34,32,32,31,21,13,42,2017
Kamareddy ,0,0,0,0,0,0,0,0,0,0,0,0,2017
Karimnagar ,0,0,0,0,0,0,0,0,0,0,0,0,2017
Khammam,0,0,0,0,0,0,0,0,0,0,0,0,2017
Komaram Bheem Asifabad,0,0,0,0,0,0, ,0,0,0,0,0,2017
